"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES" 
"Feb 07, 2025 2:14 PM","(-) Expense","50.00","Social","Cash","" 
"Feb 07, 2025 2:14 PM","(-) Expense","490.00","Car","Cash","" 
"Feb 09, 2025 2:14 PM","(-) Expense","96.00","Food","Cash","" 
"Feb 09, 2025 2:14 PM","(-) Expense","60.00","Food","Cash","" 
"Feb 10, 2025 2:13 PM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 10, 2025 2:14 PM","(-) Expense","90.00","Food","Cash","" 
"Feb 10, 2025 2:15 PM","(-) Expense","20.00","Transportation","Cash","" 
"Feb 10, 2025 2:15 PM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 11, 2025 10:05 AM","(-) Expense","40.00","Transportation","Cash","" 
"Feb 12, 2025 10:05 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 16, 2025 12:11 AM","(-) Expense","742.00","Social","Cash","Sunirmal Da weeding " 
"Feb 16, 2025 3:00 AM","(-) Expense","400.00","Social","Cash","" 
"Feb 17, 2025 10:08 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 17, 2025 10:18 AM","(-) Expense","5000.00","Home","Savings","LIC + Home expenses " 
"Feb 17, 2025 10:19 AM","(-) Expense","1000.00","Transportation","Savings","My personal expenses " 
"Feb 17, 2025 10:14 PM","(-) Expense","30.00","Transportation","Cash","" 
"Feb 18, 2025 9:27 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 18, 2025 9:28 AM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 18, 2025 10:16 PM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 18, 2025 10:17 PM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 19, 2025 10:03 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 19, 2025 10:35 AM","(-) Expense","184.00","Social","Savings","wedding gift for Priyanka " 
"Feb 19, 2025 8:32 PM","(-) Expense","17.00","Transportation","Cash","" 
"Feb 19, 2025 8:33 PM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 20, 2025 6:32 PM","(+) Income","15.00","rewards","Savings","" 
"Feb 20, 2025 10:50 PM","(-) Expense","65.00","Transportation","Cash","" 
"Feb 21, 2025 10:45 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 21, 2025 3:07 PM","(-) Expense","52.00","Food","Cash","Lunch" 
"Feb 21, 2025 9:29 PM","(-) Expense","25.00","Transportation","Cash","" 
"Feb 22, 2025 6:45 PM","(-) Expense","22.00","Transportation","Cash","" 
"Feb 22, 2025 6:45 PM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 22, 2025 8:34 PM","(-) Expense","200.00","Shopping","Savings","" 
"Feb 23, 2025 4:55 PM","(-) Expense","80.00","Beauty","Cash","Hair Cut" 
"Feb 23, 2025 4:58 PM","(-) Expense","299.90","Bills","Savings","Credit Card bills" 
"Feb 23, 2025 5:00 PM","(-) Expense","1056.57","Bills","Savings","Credit Card bills " 
"Feb 23, 2025 5:02 PM","(-) Expense","2605.79","Bills","Savings","Credit Card " 
"Feb 23, 2025 6:07 PM","(-) Expense","250.00","Car","Cash","Bike accessories " 
"Feb 24, 2025 10:37 PM","(-) Expense","44.00","Transportation","Cash","" 
"Feb 25, 2025 10:54 PM","(-) Expense","30.00","Transportation","Cash","" 
"Feb 26, 2025 11:32 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 26, 2025 10:33 PM","(-) Expense","30.00","Transportation","Cash","" 
"Feb 27, 2025 9:22 PM","(-) Expense","41.00","Transportation","Cash","" 
"Feb 28, 2025 10:35 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 28, 2025 2:21 PM","(-) Expense","100.00","transfer","Cash","" 
"Feb 28, 2025 2:22 PM","(+) Income","100.00","Transfer","Savings","" 
"Feb 28, 2025 10:48 PM","(-) Expense","24.00","Transportation","Cash","" 
"Mar 01, 2025 8:55 AM","(-) Expense","65.00","Food","Cash","" 
"Mar 01, 2025 10:14 AM","(-) Expense","30.00","Food","Cash","" 
"Mar 01, 2025 10:14 AM","(-) Expense","28.00","Transportation","Cash","" 
"Mar 01, 2025 10:24 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 01, 2025 10:59 AM","(-) Expense","150.00","Social","Savings","C-Quel day" 
"Mar 01, 2025 10:59 AM","(-) Expense","60.00","Lend Money","Savings","Alamgir borrowed money from me" 
"Mar 01, 2025 1:19 PM","(-) Expense","5.00","Donation","Cash","" 
"Mar 02, 2025 10:19 AM","(-) Expense","65.00","Food","Cash","Vegetables " 
"Mar 02, 2025 10:19 AM","(-) Expense","6471.00","Bike EMI","Savings","" 
"Mar 02, 2025 7:49 PM","(+) Income","60.00","Transfer","Savings","" 
"Mar 02, 2025 7:50 PM","(-) Expense","1000.00","Lend Money","Savings","Alamgir borrowed money from me " 
"Mar 03, 2025 10:18 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 03, 2025 5:34 PM","(-) Expense","15.00","Food","Cash","" 
"Mar 03, 2025 10:16 PM","(-) Expense","18.00","Transportation","Cash","" 
"Mar 04, 2025 8:54 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 04, 2025 6:45 PM","(+) Income","24320.00","Salary","Savings","" 
"Mar 04, 2025 8:38 PM","(-) Expense","30.00","Food","Cash","" 
"Mar 04, 2025 8:38 PM","(-) Expense","38.00","Transportation","Cash","" 
"Mar 04, 2025 10:16 PM","(*) Transfer","10000.00","  -  ","Savings->Cash","" 
"Mar 04, 2025 10:16 PM","(-) Expense","8000.00","Home","Cash","" 
"Mar 04, 2025 10:16 PM","(-) Expense","100.00","Bike ðŸš²","Cash","Fule" 
"Mar 05, 2025 11:17 AM","(+) Income","1000.00","Grants","Savings","Lakhir Bhandar " 
"Mar 05, 2025 11:25 AM","(-) Expense","10.00","Bills","Cash","Maa niyeche " 
"Mar 06, 2025 9:33 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 06, 2025 6:34 PM","(+) Income","700.00","Grants","Savings","Alamgir returned money " 
"Mar 06, 2025 6:34 PM","(-) Expense","60.00","Food","Cash","" 
"Mar 07, 2025 8:05 AM","(-) Expense","1100.00","SIP","Savings","" 
"Mar 07, 2025 8:05 AM","(-) Expense","15.00","Transportation","Cash","" 
"Mar 08, 2025 4:48 PM","(-) Expense","40.00","Transportation","Cash","" 
"Mar 09, 2025 4:59 PM","(-) Expense","104.00","Food","Cash","" 
"Mar 09, 2025 9:22 PM","(*) Transfer","500.00","  -  ","Savings->Cash","Ajizul" 
"Mar 10, 2025 7:59 AM","(-) Expense","46.00","Transportation","Cash","" 
"Mar 11, 2025 8:11 AM","(-) Expense","10.00","Transportation","Cash","" 
"Mar 11, 2025 8:11 AM","(-) Expense","21.00","Food","Cash","" 
"Mar 11, 2025 8:11 AM","(-) Expense","20.00","Transportation","Cash","" 
"Mar 11, 2025 10:12 AM","(-) Expense","20.00","Education","Savings","Resume print out " 
"Mar 11, 2025 10:30 AM","(-) Expense","18.00","Transportation","Cash","" 
"Mar 12, 2025 8:16 AM","(-) Expense","40.00","Transportation","Cash","" 
"Mar 12, 2025 8:17 AM","(-) Expense","50.00","Home","Cash","" 
"Mar 12, 2025 5:46 PM","(-) Expense","25.00","Food","Cash","" 
"Mar 13, 2025 8:16 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 13, 2025 10:18 AM","(-) Expense","50.00","Bills","Cash","Unknown" 
"Mar 13, 2025 5:32 PM","(-) Expense","90.00","Food","Cash","" 
"Mar 13, 2025 10:02 PM","(-) Expense","32.00","Transportation","Cash","" 
"Mar 14, 2025 9:59 AM","(-) Expense","10000.00","Home","Savings","" 
"Mar 15, 2025 6:37 PM","(-) Expense","24.00","Food","Cash","" 
"Mar 16, 2025 9:53 PM","(-) Expense","80.00","Clothing","Savings","" 
"Mar 16, 2025 9:53 PM","(-) Expense","100.00","Bike ðŸš²","Cash","" 
"Mar 17, 2025 10:39 AM","(-) Expense","32.00","Transportation","Cash","" 
"Mar 17, 2025 5:01 PM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 18, 2025 10:40 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 18, 2025 5:58 PM","(-) Expense","300.00","Social","Cash","Saurav cake" 
"Mar 18, 2025 6:20 PM","(+) Income","64.00","Transfer","Savings","" 
"Mar 19, 2025 9:13 AM","(-) Expense","58.00","Transportation","Cash","" 
"Mar 19, 2025 9:14 AM","(*) Transfer","100.00","  -  ","Cash->Savings","" 
"Mar 19, 2025 10:14 AM","(+) Income","200.00","Transfer","Savings","" 
"Mar 19, 2025 10:32 AM","(+) Income","1500.00","Abba r taka","Savings","" 
"Mar 20, 2025 9:14 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 20, 2025 10:00 AM","(-) Expense","68.00","Food","Cash","Bread and Yogurt " 
"Mar 20, 2025 10:00 AM","(-) Expense","300.00","Bike ðŸš²","Cash","Fule" 
"Mar 20, 2025 10:01 AM","(-) Expense","25.00","Transportation","Cash","" 
"Mar 20, 2025 5:27 PM","(-) Expense","16.00","Food","Cash","" 
"Mar 20, 2025 5:42 PM","(+) Income","3.26","Transfer","Savings","" 
"Mar 21, 2025 10:00 AM","(-) Expense","12.00","Transportation","Cash","" 
"Mar 21, 2025 10:03 AM","(+) Income","776.00","Transfer","Cash","" 
"Mar 21, 2025 6:50 PM","(-) Expense","30.00","Transportation","Cash","" 
"Mar 21, 2025 6:51 PM","(-) Expense","60.00","Food","Cash","" 
"Mar 22, 2025 6:49 PM","(-) Expense","4359.72","Bills","Savings","" 
"Mar 22, 2025 6:49 PM","(-) Expense","48.00","Transportation","Cash","" 
"Mar 22, 2025 6:50 PM","(-) Expense","24.00","Food","Cash","Chop" 
"Mar 23, 2025 5:25 PM","(-) Expense","40.00","Bike ðŸš²","Cash","Leak" 
"Mar 23, 2025 5:26 PM","(-) Expense","10.00","Food","Cash","" 
"Mar 23, 2025 9:24 PM","(-) Expense","559.80","Bills","Savings","" 
"Mar 24, 2025 9:58 AM","(+) Income","1500.00","Grants","Savings","Didi r bari taka" 
"Mar 24, 2025 9:59 AM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 24, 2025 10:09 AM","(-) Expense","34.00","Food","Cash","" 
"Mar 24, 2025 9:23 PM","(-) Expense","15.00","Food","Savings","" 
"Mar 24, 2025 9:23 PM","(-) Expense","24.00","Transportation","Cash","" 
"Mar 25, 2025 9:17 AM","(-) Expense","38.00","Transportation","Cash","" 
"Mar 25, 2025 9:17 AM","(-) Expense","48.00","Food","Cash","" 
"Mar 26, 2025 10:57 AM","(-) Expense","500.00","transfer","Savings","Jiju k transfer " 
"Mar 26, 2025 7:16 PM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 26, 2025 7:16 PM","(-) Expense","140.00","Food","Cash","" 
"Mar 27, 2025 1:36 PM","(-) Expense","145.00","Food","Cash","Barir Jonno" 
"Mar 27, 2025 1:36 PM","(-) Expense","40.00","Transportation","Cash","" 
"Mar 27, 2025 5:24 PM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 27, 2025 5:24 PM","(-) Expense","25.00","Food","Cash","Egg+Ghugni " 
"Mar 28, 2025 1:37 PM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 28, 2025 6:25 PM","(-) Expense","15.00","Food","Savings","" 
"Mar 29, 2025 12:17 PM","(-) Expense","14.00","Transportation","Cash","" 
"Mar 29, 2025 12:17 PM","(-) Expense","50.00","Lend Money","Cash","" 
"Mar 29, 2025 10:14 PM","(-) Expense","45.00","Transportation","Cash","" 
"Mar 29, 2025 10:14 PM","(-) Expense","20.00","Transportation","Cash","" 
"Mar 29, 2025 10:15 PM","(+) Income","15000.00","Salary","Savings","" 
"Mar 30, 2025 10:13 AM","(-) Expense","200.00","Beauty","Cash","" 
"Mar 30, 2025 1:41 PM","(-) Expense","500.00","Shopping","Savings","" 
"Mar 30, 2025 10:40 PM","(+) Income","300.00","Refunds","Savings","" 
"Mar 30, 2025 10:41 PM","(+) Income","200.00","Transfer","Cash","" 
"Mar 31, 2025 8:44 AM","(-) Expense","40.00","Social","Cash","" 
"Mar 31, 2025 8:45 AM","(-) Expense","200.00","Social","Savings","" 
"Mar 31, 2025 9:26 AM","(-) Expense","70.00","Food","Cash","" 
"Mar 31, 2025 11:42 AM","(-) Expense","502.00","Food","Savings","" 
"Mar 31, 2025 11:42 AM","(-) Expense","100.00","Donation","Cash","" 
"Mar 31, 2025 11:42 AM","(-) Expense","950.00","Bike ðŸš²","Savings","" 
"Mar 31, 2025 11:42 AM","(+) Income","100.00","Refunds","Cash","" 
"Apr 01, 2025 9:38 AM","(+) Income","522.00","Transfer","Savings","" 
"Apr 02, 2025 12:08 PM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 02, 2025 1:54 PM","(-) Expense","24.00","Transportation","Cash","" 
"Apr 02, 2025 9:25 PM","(-) Expense","6471.00","Bike EMI","Savings","" 
"Apr 03, 2025 1:54 PM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 03, 2025 7:43 PM","(-) Expense","32.00","Transportation","Cash","" 
"Apr 04, 2025 10:13 AM","(+) Income","9320.00","Salary","Savings","" 
"Apr 04, 2025 7:43 PM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 05, 2025 7:40 AM","(-) Expense","58.00","Transportation","Cash","" 
"Apr 05, 2025 1:39 PM","(-) Expense","8000.00","Home","Savings","" 
"Apr 05, 2025 3:15 PM","(-) Expense","215.00","Food","Savings","" 
"Apr 07, 2025 7:40 AM","(*) Transfer","1500.00","  -  ","Savings->Cash","" 
"Apr 07, 2025 7:40 AM","(-) Expense","10.00","Food","Cash","" 
"Apr 07, 2025 7:44 AM","(-) Expense","1100.00","SIP","Savings","" 
"Apr 07, 2025 7:46 AM","(+) Income","1000.00","Grants","Savings","Lakhir Bhandar " 
"Apr 07, 2025 9:12 AM","(-) Expense","34.00","Transportation","Cash","" 
"Apr 07, 2025 12:05 PM","(*) Transfer","500.00","  -  ","Cash->Savings","" 
"Apr 07, 2025 12:05 PM","(+) Income","19.57","Grants","Savings","" 
"Apr 08, 2025 9:12 AM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 08, 2025 3:37 PM","(-) Expense","44.00","Transportation","Cash","" 
"Apr 09, 2025 11:51 AM","(-) Expense","30.00","Transportation","Cash","" 
"Apr 09, 2025 3:37 PM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 09, 2025 3:37 PM","(-) Expense","100.00","Food","Cash","" 
"Apr 10, 2025 7:48 AM","(-) Expense","30.00","Transportation","Cash","" 
"Apr 10, 2025 11:51 AM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 11, 2025 7:48 AM","(-) Expense","49.00","Transportation","Cash","" 
"Apr 12, 2025 7:49 AM","(-) Expense","50.00","Social","Cash","Anupam Brithday " 
"Apr 12, 2025 7:30 PM","(-) Expense","50.00","Transportation","Cash","" 
"Apr 14, 2025 10:24 PM","(-) Expense","114.00","Food","Cash","" 
"Apr 14, 2025 10:24 PM","(-) Expense","100.00","Food","Cash","" 
"Apr 16, 2025 9:58 AM","(-) Expense","64.00","Transportation","Cash","" 
"Apr 17, 2025 9:58 AM","(+) Income","300.00","rewards","Cash","" 
"Apr 17, 2025 9:59 AM","(-) Expense","25.00","Transportation","Cash","" 
"Apr 17, 2025 10:15 AM","(-) Expense","249.00","Telephone","Savings","mobile recharge " 
"Apr 17, 2025 9:55 PM","(-) Expense","30.00","Transportation","Cash","" 
"Apr 17, 2025 9:55 PM","(-) Expense","20.00","Food","Cash","phuruli " 
"Apr 18, 2025 2:05 PM","(-) Expense","55.00","Transportation","Cash","" 
"Apr 19, 2025 2:06 PM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 19, 2025 6:08 PM","(-) Expense","34.00","Transportation","Cash","" 
"Apr 20, 2025 6:08 PM","(-) Expense","239.00","Food","Savings","" 
"Apr 20, 2025 6:08 PM","(-) Expense","2500.00","Home","Savings","" 
"Apr 20, 2025 6:09 PM","(-) Expense","70.00","Food","Cash","" 
"Apr 21, 2025 2:04 PM","(-) Expense","4796.63","Bills","Savings","" 
"Apr 21, 2025 6:25 PM","(-) Expense","350.00","Transportation","Savings","" 
"Apr 21, 2025 9:53 PM","(-) Expense","10.00","Transportation","Cash","" 
"Apr 22, 2025 3:04 PM","(-) Expense","24.00","Transportation","Cash","" 
"Apr 23, 2025 12:46 PM","(-) Expense","30.00","Transportation","Cash","" 
"Apr 23, 2025 4:00 PM","(-) Expense","380.00","Bills","Savings","" 
"Apr 23, 2025 4:00 PM","(-) Expense","25.00","Transportation","Cash","" 
"Apr 23, 2025 4:01 PM","(-) Expense","2000.00","Home","Savings","" 
"Apr 23, 2025 11:55 PM","(-) Expense","140.00","Transportation","Savings","" 
"Apr 24, 2025 12:47 PM","(-) Expense","36.00","Food","Cash","" 
"Apr 25, 2025 9:40 AM","(-) Expense","14.00","Transportation","Cash","" 
"Apr 25, 2025 10:11 AM","(-) Expense","18.00","Transportation","Cash","" 
"Apr 26, 2025 10:11 AM","(-) Expense","25.00","Transportation","Cash","" 
"Apr 27, 2025 10:33 AM","(-) Expense","60.00","Food","Cash","" 
